Name,Address,Website,PhoneNumber,Email
"The Aromas, Multi Cuisine Restaurant","Lane-L4, ITER college road, Jagmohan Nagar, Jagamara, khandagiri, Bhubaneswar, Odisha 751020, India",,+91 97975 38637,
Aki's Harbour,"1st Floor, Royal Arcade, Royal Arcade, Raghunathpur-Unit-107, Raghunathpur, Bhubaneswar, Odisha 751024, India",https://wa.me/917077871801?text=Hi+I+contacted+you+through+your+Google!Page,+91 70778 71801,
"Taste of China, Saheed Nagar","625/A, Janpath Rd, Saheed Nagar, Bhubaneswar, Odisha 751007, India",,,
Kake Da Minar,"District centre, Plot No-139, Niladri Vihar Rd, Chandrasekharpur, Bhubaneswar, Odisha 751023, India",,,
"Food Factory Restaurant (Best Restaurant in Bhubaneswar, Kharvel Nagar)","Infront of Hotel Priya, Unit 3, Kharvela Nagar, Bhubaneswar, Odisha 751001, India",,,
Aangan Horizon - Luxe Lounge & Rooftop,"3rd Floor, Nandankanan Road, Above Pantaloons, Patia Square, Bhubaneswar, Odisha 751024, India",,+91 74379 03790,
Starlit Civilians - Restaurant,"6th Floor, Plot No 5, Santosh Plaza, beside HomeTown, Satya Nagar, Bhubaneswar, Odisha 751007, India",,+91 90782 00385,
"MAYFAIR Lagoon, Bhubaneswar","Mayfair Hotels & Resorts Ltd, 8-B, Jayadev Vihar, Bhubaneswar, Odisha 751013, India",https://www.mayfairhotels.com/mayfair-lagoon.php,+91 92375 00101,
Moody Blues Bar & Restaurant,"Triplex, Gajapati Nagar, Bhubaneswar, Odisha 751013, India",,+91 83379 00990,
Taste of China,"142, Water Tank Ln, Bapuji Nagar, Bhubaneswar, Odisha 751009, India",,+91 90400 22205,
